id,first_name,last_name,password,position,salary,role
1,amir,bernstein,12345678,teacher,10,teacher
2,hen,biton,12345678,admin,10,admin
4,amira,bernsdtein,12345678,teacher,10,teacher
5,amira,bernsdtein,12345678,teacher,10,teacher
6,amira,bernsdtein,12345678,teacher,10,teacher
7,amira,bernsdtein,12345678,teacher,10,teacher
8,amira,bernsdtein,12345678,teacher,10,teacher
9,amira,bernsdtein,12345678,teacher,10,teacher
10,amira,bernsdtein,12345678,teacher,10,teacher
11,amira,bernsdtein,12345678,teacher,10,teacher
12,amira,bernsdtein,12345678,teacher,10,teacher
13,amira,bernsdtein,12345678,teacher,10,teacher
20,Daryl,Mizrahi,12345,Student,0,Student
21,Daryl,Mizrahi,12345,Student,0,Student
22,Daryl,Mizrahi,12345,Student,0,Student
26,Selim,Mizrahi,12345,Student,0,Student
23,Daryl,Mizrahi,12345,Student,25,Student
30,Elie,Cohen,12345,Student,0,admin
32,David,Cohen,12345,Student,0,admin
24,Elie,Benpapa,12345,Student,1k,Student
33,aaron,Cohen,12345,Student,5,admin
